Fluid,Amount,Empty Container,Empty Container Display Name,Empty Container Item,Filled Container,Filled Container Display Name,Filled Container Item
ammonium chloride,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.bwMetaGeneratedcell@50,Ammonium Chloride单元,bartworks:gt.bwMetaGeneratedcell
ammonium chloride,1000,1xitem.for.waxCapsule@0,蜂蜡胶囊,Forestry:waxCapsule,1xgt.bwMetaGeneratedcapsule@50,Ammonium Chloride Capsule,bartworks:gt.bwMetaGeneratedcapsule
ammonium dinitramide,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.bwMetaGeneratedcell@29912,二硝酰胺铵单元,bartworks:gt.bwMetaGeneratedcell
ammonium dinitramide,1000,1xitem.for.waxCapsule@0,蜂蜡胶囊,Forestry:waxCapsule,1xgt.bwMetaGeneratedcapsule@29912,二硝酰胺铵 Capsule,bartworks:gt.bwMetaGeneratedcapsule
ammonium n-nitrourethane,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.bwMetaGeneratedcell@29909,N-硝氨基甲酸乙酯-铵单元,bartworks:gt.bwMetaGeneratedcell
ammonium n-nitrourethane,1000,1xitem.for.waxCapsule@0,蜂蜡胶囊,Forestry:waxCapsule,1xgt.bwMetaGeneratedcapsule@29909,N-硝氨基甲酸乙酯-铵 Capsule,bartworks:gt.bwMetaGeneratedcapsule
ammonium nitrate solution,1000,1xitem.for.waxCapsule@0,蜂蜡胶囊,Forestry:waxCapsule,1xgt.bwMetaGeneratedcapsule@11036,硝酸铵溶液 Capsule,bartworks:gt.bwMetaGeneratedcapsule
ammonium nitrate solution,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.bwMetaGeneratedcell@11036,硝酸铵溶液单元,bartworks:gt.bwMetaGeneratedcell
aniline,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xitem.aniline@0,Aniline Cell,miscutils:aniline
antimony pentachloride,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.bwMetaGeneratedcell@10032,五氯化锑单元,bartworks:gt.bwMetaGeneratedcell
antimony pentachloride,1000,1xitem.for.waxCapsule@0,蜂蜡胶囊,Forestry:waxCapsule,1xgt.bwMetaGeneratedcapsule@10032,五氯化锑 Capsule,bartworks:gt.bwMetaGeneratedcapsule
antimony pentachloride solution,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.bwMetaGeneratedcell@10031,五氯化锑溶液单元,bartworks:gt.bwMetaGeneratedcell
antimony pentachloride solution,1000,1xitem.for.waxCapsule@0,蜂蜡胶囊,Forestry:waxCapsule,1xgt.bwMetaGeneratedcapsule@10031,五氯化锑溶液 Capsule,bartworks:gt.bwMetaGeneratedcapsule
antimony pentafluoride,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.bwMetaGeneratedcell@10033,五氟化锑单元,bartworks:gt.bwMetaGeneratedcell
antimony pentafluoride,1000,1xitem.for.waxCapsule@0,蜂蜡胶囊,Forestry:waxCapsule,1xgt.bwMetaGeneratedcapsule@10033,五氟化锑 Capsule,bartworks:gt.bwMetaGeneratedcapsule
antimony pentafluoride solution,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.bwMetaGeneratedcell@10107,五氟化锑溶液单元,bartworks:gt.bwMetaGeneratedcell
antimony pentafluoride solution,1000,1xitem.for.waxCapsule@0,蜂蜡胶囊,Forestry:waxCapsule,1xgt.bwMetaGeneratedcapsule@10107,五氟化锑溶液 Capsule,bartworks:gt.bwMetaGeneratedcapsule
antimony trichloride solution,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.bwMetaGeneratedcell@10030,三氯化锑溶液单元,bartworks:gt.bwMetaGeneratedcell
antimony trichloride solution,1000,1xitem.for.waxCapsule@0,蜂蜡胶囊,Forestry:waxCapsule,1xgt.bwMetaGeneratedcapsule@10030,三氯化锑溶液 Capsule,bartworks:gt.bwMetaGeneratedcapsule
aqua regia,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.bwMetaGeneratedcell@48,Aqua Regia单元,bartworks:gt.bwMetaGeneratedcell
aqua regia,1000,1xitem.for.waxCapsule@0,蜂蜡胶囊,Forestry:waxCapsule,1xgt.bwMetaGeneratedcapsule@48,Aqua Regia Capsule,bartworks:gt.bwMetaGeneratedcapsule
ardite.molten,1000,1xitem.bucket@0,桶,minecraft:bucket,1xitem.tconstruct.bucket@6,桶装熔融阿迪特,TConstruct:buckets
ardite.molten,1000,1xitem.iguana.tcon.clayBucketFired@0,粘土桶(烤制),IguanaTweaksTConstruct:clayBucketFired,1xitem.iguana.tcon.clayBucket@6,粘土桶(熔融阿迪特),IguanaTweaksTConstruct:clayBucketsTinkers
argon,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.01@30024,氩单元,gregtech:gt.metaitem.01
bacterialsludge,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.98@1,菌泥单元,gregtech:gt.metaitem.98
bacterialsludge,1000,1xitem.bucket@0,桶,minecraft:bucket,1xitem.bucketSludge@0,菌泥桶,GalacticraftMars:item.bucketSludge
benzene,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.01@30686,苯单元,gregtech:gt.metaitem.01
binnie.bacteria,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.98@15,细菌单元,gregtech:gt.metaitem.98
binnie.bacteria,1000,1xitem.misc@8,玻璃罐,Genetics:misc,1xitem.containerCylinder@769,细菌玻璃罐,BinnieCore:containerCylinder
binnie.bacteriapoly,1000,1xitem.misc@8,玻璃罐,Genetics:misc,1xitem.containerCylinder@770,聚合菌玻璃罐,BinnieCore:containerCylinder
binnie.bacteriavector,1000,1xitem.misc@8,玻璃罐,Genetics:misc,1xitem.containerCylinder@772,细菌质粒玻璃罐,BinnieCore:containerCylinder
binnie.dna.raw,1000,1xitem.misc@8,玻璃罐,Genetics:misc,1xitem.containerCylinder@771,DNA 液体玻璃罐,BinnieCore:containerCylinder
binnie.growthmedium,1000,1xitem.for.canEmpty@0,罐,Forestry:canEmpty,1xitem.containerCan@768,binniecore.item.container.can.binnie.growthmedium,BinnieCore:containerCan
binnie.growthmedium,1000,1xitem.misc@8,玻璃罐,Genetics:misc,1xitem.containerCylinder@768,培养基玻璃罐,BinnieCore:containerCylinder
binnie.growthmedium,1000,1xitem.bucket@0,桶,minecraft:bucket,1xitem.containerBucket@768,binniecore.item.container.bucket.binnie.growthmedium,BinnieCore:containerBucket
binnie.growthmedium,1000,1xitem.for.waxCapsule@0,蜂蜡胶囊,Forestry:waxCapsule,1xitem.containerCapsule@768,binniecore.item.container.capsule.binnie.growthmedium,BinnieCore:containerCapsule
binnie.growthmedium,1000,1xitem.glassBottle@0,玻璃瓶,minecraft:glass_bottle,1xitem.containerGlass@768,binniecore.item.container.glass.binnie.growthmedium,BinnieCore:containerGlass
binnie.growthmedium,1000,1xitem.for.refractoryEmpty@0,耐火胶囊,Forestry:refractoryEmpty,1xitem.containerRefractory@768,binniecore.item.container.refractory.binnie.growthmedium,BinnieCore:containerRefractory
biodiesel,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.01@30627,生物柴油单元,gregtech:gt.metaitem.01
bioethanol,1000,1xitem.bucket@0,桶,minecraft:bucket,1xitem.for.bucketEthanol@0,乙醇桶,Forestry:bucketEthanol
bioethanol,8000,1xitem.capsule.void@0,空虚空胶囊,MagicBees:capsule.void,1xitem.capsule.void@4,乙醇虚空胶囊,MagicBees:capsule.void
bioethanol,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.01@30706,乙醇单元,gregtech:gt.metaitem.01
bioethanol,1000,1xitem.for.canEmpty@0,罐,Forestry:canEmpty,1xitem.for.canEthanol@0,乙醇罐,Forestry:canEthanol
bioethanol,2000,1xitem.capsule.magic@0,空魔力胶囊,MagicBees:capsule.magic,1xitem.capsule.magic@4,乙醇魔力胶囊,MagicBees:capsule.magic
bioethanol,1000,1xitem.for.refractoryEmpty@0,耐火胶囊,Forestry:refractoryEmpty,1xitem.for.refractoryEthanol@0,耐火乙醇胶囊,Forestry:refractoryEthanol
bioethanol,1000,1xitem.for.waxCapsule@0,蜂蜡胶囊,Forestry:waxCapsule,1xitem.for.waxCapsuleEthanol@0,乙醇胶囊,Forestry:waxCapsuleEthanol
biofuel,1000,1xitem.ItemBioFuelCanister@1001,空罐,GalaxySpace:item.ItemBioFuelCanister,1xitem.ItemBioFuelCanister@1,生物燃料罐,GalaxySpace:item.ItemBioFuelCanister
biohmediumsterilized,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.01@30604,无菌生物培养基单元,gregtech:gt.metaitem.01
biohmediumsterilized,1000,1xitem.for.waxCapsule@0,蜂蜡胶囊,Forestry:waxCapsule,1xgt.bwMetaGeneratedGTEnhancementcapsule@442,无菌生物培养基胶囊,bartworks:gt.bwMetaGeneratedGTEnhancementcapsule
biomass,8000,1xitem.capsule.void@0,空虚空胶囊,MagicBees:capsule.void,1xitem.capsule.void@3,生物质虚空胶囊,MagicBees:capsule.void
biomass,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.01@30704,林业生物质单元,gregtech:gt.metaitem.01
biomass,1000,1xitem.for.waxCapsule@0,蜂蜡胶囊,Forestry:waxCapsule,1xitem.for.waxCapsuleBiomass@0,生物质胶囊,Forestry:waxCapsuleBiomass
biomass,1000,1xitem.bucket@0,桶,minecraft:bucket,1xitem.for.bucketBiomass@0,生物质桶,Forestry:bucketBiomass
biomass,2000,1xitem.capsule.magic@0,空魔力胶囊,MagicBees:capsule.magic,1xitem.capsule.magic@3,生物质魔力胶囊,MagicBees:capsule.magic
biomass,1000,1xitem.for.refractoryEmpty@0,耐火胶囊,Forestry:refractoryEmpty,1xitem.for.refractoryBiomass@0,耐火生物质胶囊,Forestry:refractoryBiomass
biomass,1000,1xitem.for.canEmpty@0,罐,Forestry:canEmpty,1xitem.for.canBiomass@0,生物质罐,Forestry:canBiomass
biomediumraw,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.01@30603,生物培养基原液单元,gregtech:gt.metaitem.01
biomediumraw,1000,1xitem.for.waxCapsule@0,蜂蜡胶囊,Forestry:waxCapsule,1xgt.bwMetaGeneratedGTEnhancementcapsule@441,生物培养基原液胶囊,bartworks:gt.bwMetaGeneratedGTEnhancementcapsule
blood,1000,1xitem.bucket@0,桶,minecraft:bucket,1xitem.tconstruct.bucket@16,血桶,TConstruct:buckets
blood,1000,1xitem.iguana.tcon.clayBucketFired@0,粘土桶(烤制),IguanaTweaksTConstruct:clayBucketFired,1xitem.iguana.tcon.clayBucket@16,粘土桶(血),IguanaTweaksTConstruct:clayBucketsTinkers
boricacid,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xitem.boricacid@0,Boric Acid Cell,miscutils:boricacid
boron trifluoride,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.bwMetaGeneratedcell@29932,三氟化硼单元,bartworks:gt.bwMetaGeneratedcell
boron trifluoride,1000,1xitem.for.waxCapsule@0,蜂蜡胶囊,Forestry:waxCapsule,1xgt.bwMetaGeneratedcapsule@29932,三氟化硼 Capsule,bartworks:gt.bwMetaGeneratedcapsule
bronze.molten,1000,1xitem.bucket@0,桶,minecraft:bucket,1xitem.tconstruct.bucket@7,桶装熔融青铜,TConstruct:buckets
bronze.molten,1000,1xitem.iguana.tcon.clayBucketFired@0,粘土桶(烤制),IguanaTweaksTConstruct:clayBucketFired,1xitem.iguana.tcon.clayBucket@7,粘土桶(熔融青铜),IguanaTweaksTConstruct:clayBucketsTinkers
butadiene,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.01@30646,丁二烯单元,gregtech:gt.metaitem.01
butane,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.01@30644,丁烷单元,gregtech:gt.metaitem.01
butanol,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xitem.butanol@0,Butanol Cell,miscutils:butanol
butene,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.01@30645,丁烯单元,gregtech:gt.metaitem.01
butyraldehyde,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.01@30793,丁醛单元,gregtech:gt.metaitem.01
cadaverine,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xitem.cadaverine@0,Cadaverine Cell,miscutils:cadaverine
calcium chloride,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.bwMetaGeneratedcell@63,Calcium Chloride单元,bartworks:gt.bwMetaGeneratedcell
calcium chloride,1000,1xitem.for.waxCapsule@0,蜂蜡胶囊,Forestry:waxCapsule,1xgt.bwMetaGeneratedcapsule@63,Calcium Chloride Capsule,bartworks:gt.bwMetaGeneratedcapsule
calcium fluoride,1000,1xitem.for.waxCapsule@0,蜂蜡胶囊,Forestry:waxCapsule,1xgt.bwMetaGeneratedcapsule@11124,氟化钙 Capsule,bartworks:gt.bwMetaGeneratedcapsule
calcium fluoride,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.bwMetaGeneratedcell@11124,氟化钙单元,bartworks:gt.bwMetaGeneratedcell
calciumacetatesolution,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.01@30671,乙酸钙溶液单元,gregtech:gt.metaitem.01
carbondioxide,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.01@30497,二氧化碳单元,gregtech:gt.metaitem.01
carbondisulfide,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xitem.CarbonDisulfide@0,Carbon Disulfide Cell,miscutils:CarbonDisulfide
carbonmonoxide,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.01@30674,一氧化碳单元,gregtech:gt.metaitem.01
charcoal_byproducts,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.01@30675,木炭副产单元,gregtech:gt.metaitem.01
chloramine,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.01@30655,氯胺单元,gregtech:gt.metaitem.01
chlorine,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.01@30023,氯单元,gregtech:gt.metaitem.01
chlorobenzene,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.01@30605,氯苯单元,gregtech:gt.metaitem.01
chloroform,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.01@30668,氯仿单元,gregtech:gt.metaitem.01
chloromethane,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.01@30664,氯甲烷单元,gregtech:gt.metaitem.01
cloud_seed,1000,1xitem.bucket@0,桶,minecraft:bucket,1xitem.bucketCloud_seed@0,桶装云之精华,EnderIO:bucketCloud_seed
cloud_seed_concentrated,1000,1xitem.bucket@0,桶,minecraft:bucket,1xitem.bucketCloud_seed_concentrated@0,桶装浓缩云之精华,EnderIO:bucketCloud_seed_concentrated
cobalt.molten,1000,1xitem.bucket@0,桶,minecraft:bucket,1xitem.tconstruct.bucket@5,桶装熔融钴,TConstruct:buckets
cobalt.molten,1000,1xitem.iguana.tcon.clayBucketFired@0,粘土桶(烤制),IguanaTweaksTConstruct:clayBucketFired,1xitem.iguana.tcon.clayBucket@5,粘土桶(熔融钴),IguanaTweaksTConstruct:clayBucketsTinkers
